Doc,Obls,Score,Rank
Esports Management,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3]], 'opposite': []}",1.0
Blue Ridge,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3]], 'opposite': []}",1.0,1
Total System Services,"{'unmatchedList1': [3], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 2]], 'opposite': []}",0.75,2
3 from Total,"{'unmatchedList1': [3], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 2]], 'opposite': []}",0.75,2
Ecoark,"{'unmatchedList1': [3], 'unmatchedList2': [1], 'identical': [[0, 0], [1, 2], [2, 3]], 'opposite': []}",0.6,3
SolarWindow,"{'unmatchedList1': [], 'unmatchedList2': [4, 5, 6, 7, 8, 12], 'identical': [[0, 0], [1, 1], [1, 9], [2, 2], [2, 10], [3, 3], [3, 11]], 'opposite': []}",0.5384615384615384,4
Vapotherm,"{'unmatchedList1': [3], 'unmatchedList2': [3, 4], 'identical': [[0, 0], [1, 1], [2, 2]], 'opposite': []}",0.5,5
Union Bankshares,"{'unmatchedList1': [3], 'unmatchedList2': [3, 4, 5], 'identical': [[0, 0], [1, 1], [2, 2]], 'opposite': []}",0.42857142857142855,6
Veru,"{'unmatchedList1': [], 'unmatchedList2': [4, 5, 6, 7, 8, 9], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3]], 'opposite': []}",0.4,7
CTI Industries,"{'unmatchedList1': [], 'unmatchedList2': [1, 5, 6, 7, 8, 9, 10], 'identical': [[0, 0], [1, 2], [2, 3], [3, 4]], 'opposite': []}",0.36363636363636365,8
Clearwater Analytics,"{'unmatchedList1': [], 'unmatchedList2': [1, 2, 6, 7, 8, 9, 10, 11, 12], 'identical': [[0, 0], [1, 3], [2, 4], [3, 5]], 'opposite': []}",0.3076923076923077,9
Organicell,"{'unmatchedList1': [3], 'unmatchedList2': [3, 4, 5, 6, 7, 8, 9, 10], 'identical': [[0, 0], [1, 1], [2, 2]], 'opposite': []}",0.25,10
5E Advanced,"{'unmatchedList1': [3], 'unmatchedList2': [3, 4, 5, 6, 7, 8, 9, 10], 'identical': [[0, 0], [1, 1], [2, 2]], 'opposite': []}",0.25,10
