Original,"Different Meaning, Minimal Changes","Same Meaning, Worded Differently"
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Same,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Different
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Same,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
Original,"Different Meaning, Minimal Changes","Same Meaning, Worded Differently"
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Different
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Different
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Different
o3-mini,Different,Same
gpt-4o-mini,Same,Same
o1-mini,Same,Same
o3-mini,Same,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
o3-mini,Different,Same
gpt-4o-mini,Different,Same
o1-mini,Different,Same
