Doc,Rank,Reasons
Gulfport,1,"['Nearly identical to the Template in structure and language.', ""Duration is tied to liability or potential liability, matching the Template's standard."", 'Covers service as officer, director, or at the request of the Company in other capacities.', 'Binding and benefit language for successors, assigns, etc., is present and nearly verbatim.', 'Adds a requirement for successors to assume the agreement, which is a minor addition.']"
Mammoth,1,"['Very close to the Template in both structure and substance.', 'Duration is tied to liability or potential liability, as in the Template.', 'Covers service as officer, director, or at the request of the Company in other capacities.', 'Binding and benefit language for successors, assigns, etc., is present and nearly verbatim.', ""Minor difference: refers to 'Covered Entities' and 'Covered Status' but functionally equivalent.""]"
Frontier,2,"['Substantially similar to the Template in parties, obligations, and duration.', ""Duration is tied to being subject to a Proceeding, similar to the Template's 'liability or potential liability' standard."", 'Covers service as officer, director, or at the request of the Company in other capacities.', 'Binding and benefit language for successors, assigns, etc., is present.', 'Adds clarifications about retroactivity and vesting, which are additional but not conflicting.']"
Earthstone,2,"['Very similar to the Template in parties, obligations, and duration.', ""Duration is tied to being or potentially being subject to a Proceeding, which is close to the Template's standard."", 'Covers service as officer, director, or at the request of the Company in other capacities.', 'Binding and benefit language for successors, assigns, etc., is present, with minor wording differences.']"
Cytodin,2,"['Very similar to the Template in parties, obligations, and duration.', ""Duration is tied to being or potentially being subject to a Proceeding, which is close to the Template's standard."", 'Covers service as officer, director, or at the request of the Company in other capacities.', 'Binding and benefit language for successors, assigns, etc., is present.', 'Adds some enforcement language, but the core duration and obligations are aligned.']"
Kinmed,2,"['Very similar to the Template in parties, obligations, and duration.', ""Duration is tied to being potentially subject to a Proceeding, which is close to the Template's standard."", 'Covers service as officer, director, or at the request of the Company in other capacities.', 'Binding and benefit language for successors, assigns, etc., is present.', 'Adds security provision, but the core duration and obligations are aligned.']"
TTM,3,"[""Similar in structure and parties, but the duration is tied to being subject to a Proceeding rather than 'liability or potential liability.'"", 'Covers service as officer, director, or at the request of the Company in other capacities.', 'Does not include the explicit binding and benefit language for successors, assigns, etc., found in the Template.']"
Gi Dynamics,3,"[""Similar in structure and parties, but the duration is not explicitly tied to 'liability or potential liability' or being subject to a Proceeding."", 'Covers service as officer, director, or at the request of the Company in other capacities.', 'Binding and benefit language for successors, assigns, etc., is present.', 'Adds security provision, but the core duration and obligations are less closely aligned with the Template.']"
Angel Pond,3,"[""Similar in structure and parties, but the duration is tied to being subject to a 'possible Proceeding,' which is broader but less precise than 'liability or potential liability.'"", 'Covers service as officer, director, or at the request of the Company in other capacities, with additional specific references.', 'Does not include the explicit binding and benefit language for successors, assigns, etc., found in the Template.']"
Opgen,4,"[""Duration is tied to a fixed period (10 years after service or 1 year after final termination of a Proceeding), which is more restrictive than the Template's open-ended standard."", 'Covers service as officer, director, or at the request of the Company in other capacities.', 'Binding and benefit language for successors, assigns, etc., is present.', 'Adds security provision, but the fixed duration is a significant difference.']"
Inseego,4,"[""Duration is tied to a fixed period (6 years after termination of Corporate Status, or longer if statute of limitations is tolled), which is more restrictive than the Template's open-ended standard."", 'Covers service as officer, director, or at the request of the Company in other capacities.', 'Binding and benefit language for successors, assigns, etc., is present.']"
Entellus,4,"[""Duration is tied to a fixed period (6 years after termination of Corporate Status), which is more restrictive than the Template's open-ended standard."", 'Covers service as officer, director, or at the request of the Company in other capacities.', 'Binding and benefit language for successors, assigns, etc., is present.']"
