Doc,Rank,Reasons
Dynatronics,1,"['Same core structure: employee consent to use name/likeness/etc. + defined “Permitted Uses”', 'Same scope: worldwide; during and after employment; legitimate business purposes', 'Includes broad “forever releases” of company and related parties for any claims tied to permitted uses', 'Very similar party set (Company, directors/officers/employees/agents) and liability language']"
OncBioMune,2,"['Covers the same media list and worldwide scope; applies during and after employment', 'Includes release/waiver triggered for permitted uses and similar covered parties', 'Key difference: use is conditioned on obtaining employee consent (commercially reasonable efforts; consent not unreasonably withheld), unlike the template’s unconditional/irrevocable consent']"
Hoth Therapeautics,3,"['Very close: “irrevocably consents” to broad uses of name/likeness/etc.; worldwide; during/after employment; “Permitted Uses” defined', 'Includes broad waiver/release of claims under any legal/equitable theory tied to permitted uses', 'Differences: emphasizes “commercial and business purposes” vs template’s “legitimate business purposes”; release phrased as “waives and releases” rather than “releases and discharges”']"
iGambit,3,"['Matches template’s “irrevocably consents” framing; worldwide; during/after employment; “Permitted Uses” defined', 'Includes broad “forever waives and releases” of claims tied to permitted uses', 'Differences: expressly includes affiliates in the grant and release; more “commercial” phrasing; not as closely mirrored to template’s exact party list/wording']"
Singing Machine,3,"['Highly parallel: irrevocable consent; broad media list; worldwide; during/after employment; “Permitted Uses” defined', 'Contains broad waiver/release of claims under any legal/equitable theory in connection with permitted uses', 'Differences: release language adds “arising directly or indirectly” and references exercise of rights; uses “commercial and business purposes”']"
Seventy Seven Energy,3,"['Same mechanics: irrevocable consent + broad waiver/release for permitted uses', 'Same temporal scope (during and after employment) and worldwide/media breadth', 'Differences: “Company Group” instead of Company; “commercial and business purposes”; release framed around exercise of rights and “directly or indirectly”']"
Osiris,4,"['Same basic concept: irrevocable consent for use of name/likeness/etc. during/after employment, worldwide, for legitimate business purposes; plus waiver/release', 'Differences: shorter/less detailed media enumeration than template; wording less closely tracks template though legal effect is similar']"
IQVIA,5,"['Contains irrevocable consent; worldwide; during/after employment; legitimate commercial/business purposes; no further consent/compensation', 'Missing key template component: no express release/discharge of claims tied to the uses']"
Bakhu Holdings,6,"['Covers similar subject matter and media list; worldwide; during employment term; legitimate business/commercial purposes; no royalty/compensation', 'Key differences: use is subject to employee’s advance approval (not unreasonably withheld), rather than irrevocable/absolute consent', 'Limited temporal scope to employment term (template includes after employment)', 'No release/waiver of claims']"
Medizone,7,"['Includes consent and broad media list; worldwide; during employment; legitimate commercial/business purposes; defines “Permitted Uses”; no royalty/compensation', 'Key differences: limited to employment term (no post-employment use right)', 'No release/waiver of claims']"
5 from C,7,"['Similar consent to use name/likeness/etc. for customary uses; worldwide; during term; legitimate commercial/business purposes; no compensation', 'Key differences: limited to term/employment period only; “reasonable and customary” qualifier narrows scope', 'No release/waiver of claims']"
Quantum Materials,8,"['Addresses publicity use of name/likeness/etc. with similar media list and worldwide reach', 'Major divergence from template: post-employment use requires prior written approval (template allows during and after without further consent)', 'No release/waiver of claims in the publicity clause (as provided)']"
