Doc,Rank,Reasons
Rocket,1,"[""Nearly identical language to the template, including the 'Restrictive Covenant Agreement' carve-out, parties, obligations, and assignment exceptions."", ""Uses 'you' instead of 'Executive', but this is a minor stylistic difference."", 'Covers assignment to affiliates and in connection with reorganization, consolidation, merger, or asset transfer, matching the template.']"
Verastem,1,"[""Very similar to the template, with only minor wording differences (e.g., 'our respective successors' instead of 'each of the Executive's and the Company's respective successors')."", 'Includes assignment to affiliates and in connection with reorganization, consolidation, merger, or asset transfer, as in the template.']"
Two Contracts,2,"[""Substantially similar to the template, but does not mention the 'Restrictive Covenants Agreement'."", 'Allows assignment to affiliates and in connection with reorganization, consolidation, merger, or asset transfer, as in the template.', ""Minor difference in phrasing ('after the Effective Date').""]"
Chiasma,2,"[""Very similar to the template, but allows assignment to affiliates 'at any time', which is broader than the template."", ""Otherwise, the structure and obligations are nearly identical, including the 'Restrictive Covenant Agreement' reference.""]"
Alibero,2,"['Allows assignment to affiliates and in connection with reorganization, consolidation, merger, or asset transfer, similar to the template.', ""Adds a provision that references to 'Company' become references to the assignee after assignment, which is an additional clarification not in the template."", ""Does not mention the 'Restrictive Covenants Agreement'.""]"
United Surgical Partners,2,"['Very similar to the template, but does not mention assignment to affiliates.', 'Otherwise, the assignment exceptions and benefit/binding language are nearly identical.']"
Rezolute,3,"['Similar structure, but requires the Company to assign its obligations (not just rights) in the event of a reorganization, etc., which is a stronger obligation than the template.', ""Does not mention affiliates or the 'Restrictive Covenants Agreement'.""]"
Abiomed,3,"[""Adds a carve-out for the Executive's economic rights being assignable upon death, which is not in the template."", 'Assignment by the Company is allowed in the event of reorganization, consolidation, merger, or sale of all or substantially all of its properties, stock, or assets, which is similar but not identical to the template.', ""Does not mention affiliates or the 'Restrictive Covenants Agreement'.""]"
Ironwood,3,"[""Adds a carve-out for the Executive's economic rights being automatically assigned upon death, and requires the Company to cause an acquirer to assume the agreement, which are not in the template."", 'Assignment by the Company is allowed in the event of reorganization, consolidation, merger, or sale of all or substantially all of its stock, which is similar but not identical to the template.', ""Does not mention affiliates or the 'Restrictive Covenants Agreement'.""]"
Phio Pharm,4,"['Allows assignment by the Company if the Executive is transferred to an affiliate, which is not in the template and changes the scope of assignment exceptions.', 'Otherwise, the assignment exceptions for reorganization, consolidation, merger, or asset transfer are similar to the template.', ""Does not mention the 'Restrictive Covenants Agreement'.""]"
