Doc,Rank,Reasons
Array,1,"['Both parties (employee and company) are bound to confidentiality, matching the Template.', 'Allows disclosure to immediate family, attorneys, accountants, auditors, tax preparers, and financial advisors, as in the Template.', 'Allows company disclosure for corporate reporting, matching the Template.', 'Allows disclosure to enforce terms or as required by law, matching the Template.', 'Prohibits disclosure to current or former employees, consultants, or independent contractors, similar to the Template.', 'No explicit protected rights carve-out, but otherwise nearly identical.']"
Adagio,2,"['Obligations and carve-outs are nearly identical to the Template, including protected rights language referencing Section 7 of the NLRA and government agencies.', 'Allows disclosure to immediate family, attorneys, accountants, auditors, tax preparers, and financial advisors, as in the Template.', 'Does not mention company’s right to disclose for corporate reporting, but otherwise very similar.', 'Includes additional non-disparagement and cooperation obligations, but these are outside the confidentiality section.']"
Proteostatus,2,"['Obligations and carve-outs are nearly identical to the Template, including protected rights language referencing Section 7 of the NLRA and government agencies.', 'Allows disclosure to immediate family, attorneys, accountants, auditors, tax preparers, and financial advisors, as in the Template.', 'Does not mention company’s right to disclose for corporate reporting, but otherwise very similar.', 'Includes additional non-disparagement and cooperation obligations, but these are outside the confidentiality section.']"
Verrica,2,"['Obligations and carve-outs are nearly identical to the Template, including protected rights language referencing Section 7 of the NLRA and government agencies.', 'Allows disclosure to immediate family, attorneys, accountants, auditors, tax preparers, and financial advisors, as in the Template.', 'Does not mention company’s right to disclose for corporate reporting, but otherwise very similar.', 'Includes additional non-disparagement and no admission clauses, but these are outside the confidentiality section.']"
3 from Everbridge,2,"['Obligations and carve-outs are nearly identical to the Template, including protected rights language referencing Section 7 of the NLRA and government agencies.', 'Allows disclosure to immediate family, attorneys, accountants, auditors, tax preparers, and financial advisors, as in the Template.', 'Does not mention company’s right to disclose for corporate reporting, but otherwise very similar.', 'Includes additional non-disparagement and no admission clauses, but these are outside the confidentiality section.']"
Heat Biologics,2,"['Obligations and carve-outs are nearly identical to the Template, including protected rights language referencing Section 7 of the NLRA and government agencies.', 'Allows disclosure to immediate family, attorneys, accountants, auditors, tax preparers, and financial advisors, as in the Template.', 'Does not mention company’s right to disclose for corporate reporting, but otherwise very similar.', 'Adds a carve-out that the fact of agreement and separation date are not confidential, which is a minor difference.']"
2 from 2 (2),3,"['Obligations and carve-outs are very similar to the Template, but does not include protected rights language referencing Section 7 of the NLRA or government agencies.', 'Allows disclosure to immediate family, attorneys, accountants, auditors, tax preparers, and financial advisors, as in the Template.', 'Does not mention company’s right to disclose for corporate reporting, but otherwise very similar.', 'Adds a carve-out for consulting period, which is a minor difference.']"
Newlink,4,"['Only the employee is bound to confidentiality, not both parties as in the Template.', 'Allows disclosure to immediate family and advisors, but not to both parties’ advisors as in the Template.', 'Does not allow company disclosure for corporate reporting, but states that nothing alters company’s reporting rights, which is less direct than the Template.', 'Does not include protected rights language referencing Section 7 of the NLRA or government agencies.', 'No explicit prohibition on disclosure to current or former employees.']"
2 from Eliem,5,"['Only the employee is bound to confidentiality, not both parties as in the Template.', 'Allows disclosure to immediate family and advisors, but not to both parties’ advisors as in the Template.', 'Does not allow company disclosure for corporate reporting.', 'Includes protected rights language, but in a different section reference.', 'Prohibits disclosure to current or former employees or independent contractors, similar to the Template.', 'Allows disclosure of unlawful acts, which is a broader carve-out than the Template.']"
Biocept,5,"['Only the employee is bound to confidentiality, not both parties as in the Template.', 'Allows disclosure to immediate family, creditors, and advisors, but not to both parties’ advisors as in the Template.', 'Does not allow company disclosure for corporate reporting.', 'No protected rights language referencing Section 7 of the NLRA or government agencies.', 'Prohibits disclosure to current or former employees or independent contractors, similar to the Template.']"
Mirum,5,"['Only the employee is bound to confidentiality, not both parties as in the Template.', 'Allows disclosure to immediate family and advisors, but not to both parties’ advisors as in the Template.', 'Does not allow company disclosure for corporate reporting.', 'No protected rights language referencing Section 7 of the NLRA or government agencies.', 'Prohibits disclosure to current or former employees or independent contractors, similar to the Template.']"
