Doc,Rank,Reasons
Adaptive Biotech,1,"['Both parties (Landlord and Tenant) are covered, matching the Template.', 'Obligation to pay Rent is excepted, matching the Template.', 'List of force majeure events is nearly identical to the Template.', 'No additional carve-outs or qualifications beyond the Template.']"
Genvec,1,"['Both parties (Landlord and Tenant) are covered, matching the Template.', 'Obligation to pay monetary obligations (not just Rent) is excepted, which is a minor expansion but very similar to the Template.', 'List of force majeure events is nearly identical to the Template.', ""Explicitly states monetary obligations are not excused, which is a clarification of the Template's intent.""]"
NextCure,1,"['Both parties (Landlord and Tenant) are covered, matching the Template.', 'Obligation to perform monetary obligations is excepted, which is a minor expansion but very similar to the Template.', ""List of force majeure events is nearly identical to the Template, with minor clarifications (e.g., definition of 'reasonable costs')."", ""Explicitly states monetary obligations are not excused, which is a clarification of the Template's intent.""]"
Enanta,2,"['Both parties (Landlord and Tenant) are covered, matching the Template.', 'Obligation to pay Rent and any other payment due is excepted, which is a broader carve-out than the Template.', 'List of force majeure events is expanded to include public health emergencies, pandemics, epidemics, infectious disease, and delays by inspectors or in obtaining approvals, which is broader than the Template.', 'Otherwise, the structure and intent are very similar to the Template.']"
Forma,2,"['Both parties (Landlord and Tenant) are covered, matching the Template.', 'Obligation to pay Rent and any other payment due is excepted, which is a broader carve-out than the Template.', 'List of force majeure events is expanded to include public health emergencies, pandemics, epidemics, infectious disease, and delays by inspectors or in obtaining approvals, which is broader than the Template.', 'Includes obligation to give notice under the Work Letter, which is a minor addition.', 'Otherwise, the structure and intent are very similar to the Template.']"
Beam,3,"['Both parties (Landlord and Tenant) are covered, matching the Template.', 'Obligation to pay Rent and any other amounts payable is excepted, which is a broader carve-out than the Template.', ""List of force majeure events is similar but includes 'extreme weather' and specific reference to COVID-19."", 'Explicitly excludes financial disability or hardship as a force majeure event, which is an additional limitation not present in the Template.']"
Vaxcyte,3,"['Both parties (Landlord and Tenant) are covered, matching the Template.', 'Obligation to pay Rent and any other amounts payable is excepted, which is a broader carve-out than the Template.', 'List of force majeure events is similar but includes specific reference to epidemic or pandemic.', 'Explicitly excludes financial disability or hardship as a force majeure event, which is an additional limitation not present in the Template.']"
Biocardia,4,"['Only Landlord is covered, not both parties as in the Template.', 'No carve-out for payment obligations, which is a significant difference from the Template.', 'List of force majeure events is similar to the Template.']"
Sensei,4,"['Only Landlord is covered, not both parties as in the Template.', 'No carve-out for payment obligations, which is a significant difference from the Template.', 'List of force majeure events is similar to the Template.']"
Revolution,4,"['Only Landlord is covered, not both parties as in the Template.', 'No carve-out for payment obligations, which is a significant difference from the Template.', 'List of force majeure events is similar to the Template.']"
