Doc,Rank,Reasons
Veru,1,"['Nearly identical language to the Template regarding parties, obligations, and carve-outs.', 'Includes the same protected rights and compliance with law exceptions.', 'Requires prompt written notice to a company legal officer, similar to the Template.', 'Covers the same scope of third parties.']"
Organicell,1,"['Substantially identical to the Template in obligations, carve-outs, and notice requirements.', 'Includes mutual non-disparagement by the company, which is an addition but does not detract from similarity to the Template.', 'Protected rights and compliance with law carve-outs are the same as the Template.']"
5E Advanced,1,"['Obligations, carve-outs, and notice requirements are nearly identical to the Template.', 'Adds mutual non-disparagement by the company, but otherwise matches the Template closely.', 'Protected rights and compliance with law carve-outs are the same as the Template.']"
Vapotherm,1,"['Very close to the Template in obligations, carve-outs, and notice requirements.', ""Adds a clarification about communications with government agencies, which is consistent with the Template's carve-outs."", 'Scope of covered parties is similar.']"
Blue Ridge,1,"['Obligations, carve-outs, and notice requirements are nearly identical to the Template.', 'Scope of covered parties is similar.', 'No significant deviations from the Template.']"
Union Bankshares,2,"['Very similar to the Template in obligations and carve-outs.', 'Includes mutual non-disparagement by the company, which is an addition.', 'Notice requirement is present, but to the company rather than a specific officer.', 'References a carve-out for communications to regulators in another section, which is a minor difference.']"
CTI Industries,2,"['Very similar to the Template in obligations, carve-outs, and notice requirements.', 'Notice is to the Board rather than a compliance officer, which is a minor difference.', ""Includes a carve-out for truthful testimony in court or administrative proceedings, which is a slight expansion of the Template's carve-outs.""]"
Clearwater Analytics,2,"['Very similar to the Template in obligations, carve-outs, and notice requirements.', 'Includes mutual non-disparagement by the company, which is an addition.', 'Notice is to General Counsel, and includes a reciprocal notice obligation for the company, which is a minor difference.']"
Ecoark,2,"['Obligations and carve-outs are very similar to the Template.', 'Includes mutual non-disparagement by the company, which is an addition.', 'Does not specify a notice requirement for court orders, which is a minor omission.']"
SolarWindow,3,"[""Obligations and carve-outs are similar to the Template, but includes additional language about 'maliciously false' statements and future parties."", 'Notice requirement is present, but refers to a different section for notice.', 'Includes additional confidentiality and permitted disclosure provisions not present in the Template, making it broader and more complex.']"
Total System Services,3,"[""Obligations and carve-outs are similar to the Template, but the party is 'Team Member' instead of 'Executive'."", 'Notice requirement is not as specific as the Template (no prompt written notice to a compliance officer).', 'References exceptions in another section, which is a minor difference.']"
3 from Total,3,"[""Nearly identical to 'Total System Services' clause, with similar differences from the Template."", 'Obligations and carve-outs are similar, but notice requirement is less specific.', 'References exceptions in another section.']"
