Doc,Rank,Reasons
Immunomedics,1,"['Nearly identical structure and language to the Template.', 'Same parties (Executive and Company), obligations, and carve-outs.', 'Non-competition period is the same (12 months).', 'Scope of restricted business is very similar (biopharmaceuticals, therapeutics, antibody-drug conjugates).', 'Geographic scope is the same (anywhere in the world).', 'Carve-out for ownership of up to 5% of securities is identical.']"
Immunomedics,2,"['Very similar structure and obligations to the Template.', 'Non-competition period is longer (2 years vs. 1 year).', 'Scope is narrower (therapeutic antibodies for cancer vs. broader cancer drugs, biopharmaceuticals, therapeutics or treatments).', 'Geographic scope is more limited (United States and Canada vs. worldwide).', 'Carve-out for ownership of up to 5% of securities is the same.']"
Auxillium 2,3,"['Nearly identical to Auxillium 3 and very similar to the Template in structure and obligations.', 'Non-competition period is 1 year, matching the Template.', ""Scope is pharmaceutical or other products being manufactured, marketed, distributed or developed by the Employer, which is similar but not as specific as the Template's focus on cancer drugs, biopharmaceuticals, etc."", 'Geographic scope is limited to places where the Company and its partners/affiliates are selling products, not worldwide.', 'Carve-out for ownership of up to 5% of securities is the same.']"
Auxillium 3,3,"['Identical to Auxillium 2 in all material respects.', 'Same non-competition period, parties, obligations, and carve-outs as Auxillium 2.']"
Auxillium,3,"['Substantially similar to Auxillium 2 and 3, with the addition of a non-solicitation provision, but the non-competition language is the same.', 'Same non-competition period, parties, obligations, and carve-outs as Auxillium 2 and 3.']"
Tilray,4,"['Very similar structure and obligations to the Template.', 'Non-competition period is the same (12 months).', 'Scope is broader (any products or services developed or provided by the Company) and not limited to cancer drugs or biopharmaceuticals.', 'Geographic scope is limited to the United States and Canada, not worldwide.', 'Carve-out for ownership is more restrictive (2% vs. 5%).']"
Tilray 2,4,"['Nearly identical to Tilray in all material respects.', 'Same non-competition period, parties, obligations, and carve-outs as Tilray.']"
2 from Tilray,4,"['Identical to Tilray and Tilray 2 in all material respects.', 'Same non-competition period, parties, obligations, and carve-outs as Tilray.']"
1 Deerfield,5,"['Similar structure and obligations to the Template.', 'Non-competition period is longer (24 months).', 'Scope is different: focuses on professional medical services in a primary care clinic setting, not biopharmaceuticals or cancer drugs.', 'Geographic scope is not specified, but the business definition is much narrower and different.', 'Carve-out for ownership of up to 5% of securities is the same.']"
Zeta Global,6,"['Similar structure and obligations to the Template.', 'Non-competition period is the same (12 months).', 'Scope is entirely different (digital marketing data management technology vs. cancer drugs/biopharmaceuticals).', 'Geographic scope is worldwide, matching the Template.', ""Carve-out for ownership of up to 5% of securities is the same, but also includes 'Permitted Outside Activities' carve-out not present in the Template.""]"
