Doc,Rank,Reasons
Delcath,1,"['Matches template’s detailed written-notice mechanics (US mail/overnight/email/fax; intl FedEx) and deemed-given timing including 5:00 p.m. NY time/Trading Day construct', 'Includes same Company obligations: prompt notice of actions; immediate notice of Exercise Price adjustment with calculation certification; 15-day advance record-date notices for dividends/distributions, issuances of options/convertibles, and Fundamental Transaction voting record date', 'Includes same public-information proviso tied to those required notices', 'Includes same ‘time of exercise in Exercise Notice is definitive and not disputable’ sentence', 'Differences are mainly address fields/formatting; otherwise substantively near-identical']"
Dicerna,1,"['Substantively tracks template’s notice delivery methods and deemed-given timing (including the Trading Day/5:00 p.m. NY time email rules and fax confirmation)', 'Includes same set of required Company notices (actions taken; immediate Exercise Price adjustment notice with certification; 15-day record-date notices covering (A)-(C)) and same public-information proviso', 'No material carve-outs beyond addresses/placeholders; very close to template']"
Plug Power,2,"['Very close to template on delivery methods and deemed-given timing (Business Day/Trading Day hybrid; email timing; fax confirmation; intl FedEx)', 'Contains the same required notice package (actions taken; prompt/immediate adjustment notice; 15-day record-date notices (A)-(C)) and the ‘definitive time of exercise’ sentence', 'Meaningful deviation: adds a limitation that the public-information/notice content is conditioned on MNPI (“but only to the extent… constitutes material non-public information”), narrowing the template’s unconditional public disclosure proviso']"
Helios and Matheson,3,"['Contains essentially the same notice methods (mail/overnight/email/fax; intl FedEx) and deemed-given rules (with a slightly different email deeming standard: ‘when sent’ plus bounce-back condition)', 'Includes prompt notice of actions and immediate adjustment notice (expanded to include number of Warrant Shares)', 'Keeps record-date notice concept but changes timing/coverage (ten Trading Days; only (A) dividends/distributions and (B) Fundamental Transaction vote record date, omitting the options/convertibles notice bucket found in template)', 'Adds additional required notice (10 Trading Days prior to consummation of a Fundamental Transaction) and SEC 8-K filing for MNPI', 'Uses ‘time of execution’ (not ‘exercise’) language; close but with added/altered obligations and narrower/shifted triggers']"
FuelCell,3,"['Similar mechanics for written notice methods and deemed-given rules, including fax confirmation and email ‘when sent’ with rejection qualifier (different from template’s Trading Day/5 p.m. deeming)', 'Contains prompt notice of actions (excluding share issuance on exercise) and immediate adjustment notice (including Warrant Shares)', 'Record-date notice timing differs (ten Trading Days vs 15 days) and includes broader/modified triggers (e.g., distributions/issuances to all or substantially all holders) plus 10 Trading Days pre-consummation Fundamental Transaction notice', 'Adds SEC 8-K MNPI filing and an explicit no-confidentiality/no-duty-not-to-trade covenant absent simultaneous 8-K filing', 'Overall structure aligned but materially expanded/modified compared to template']"
Gevo,3,"['Retains core concepts: notice in writing; email/overnight delivery; Trading Day/5:00 p.m. NY time email deeming; prompt notice of actions (excluding share issuance)', 'Includes adjustment notice (Exercise Price and Warrant Shares) and record-date notices covering (A)-(C), but with ten Trading Days timing (vs 15 days) and adds pre-consummation Fundamental Transaction notice', 'Adds SEC 8-K MNPI filing and explicit no-confidentiality/no-duty-not-to-trade covenant absent simultaneous filing', 'Deemed-given structure differs (includes ‘upon actual receipt’ fallback) and overall clause is more elaborate than template']"
BioPharmX,4,"['Very similar delivery methods and deemed-given framework, including Trading Day/5:00 p.m. NY time email rules and fax confirmation', 'Differences in timing standards: uses ‘Trading Days’ instead of ‘Business Days’ for mail/overnight deeming; required notices use ‘reasonably promptly’ (adjustment) and 10 days (record date) rather than immediate/15 days', 'Includes same set of record-date notice topics (A)-(C) and the ‘definitive time of exercise’ sentence', 'Substantively aligned but with multiple timing/standard-of-promptness deviations from template']"
Leap,5,"['Matches general structure: written notices; domestic mail/overnight and intl FedEx; includes fax and email; deemed-given timing similar for mail/overnight/intl', 'Email/fax deeming differs materially (email ‘upon receipt’ rather than Trading Day/5 p.m. rule)', 'Required notices are similar but not identical: adjustment notice ‘reasonably promptly’ (not immediate), record-date notice is 10 days (not 15), and adds ‘failure/defect in notice does not affect validity’ carve-out', 'Adds detailed MNPI/public disclosure mechanics and Holder presumption language not in template', 'Overall same category and many same triggers, but more deviations and added carve-outs']"
Tandem Diabetes,6,"['Closely tracks template’s delivery methods and deemed-given timing (including Trading Day/5:00 p.m. NY time email rules)', 'However, the substantive required notices are materially reduced: record-date notice appears limited to dividends/distributions only (omits options/convertibles and Fundamental Transaction voting record date)', 'Does not include the template’s ‘definitive time of exercise’ statement (as provided text ends without that portion)', 'Overall similar for mechanics but missing multiple key Company notice obligations present in template']"
EnerCore,7,"['Retains the same Company-to-Holder substantive required notices (actions taken; immediate adjustment notice; 15-day record-date notices (A)-(C)) and the ‘definitive time of exercise’ sentence', 'But it replaces the template’s detailed notice delivery methods/deemed-given rules with a cross-reference to the Securities Purchase Agreement (Section 9(f))', 'Similarity depends on external incorporated terms; as written, it is less textually aligned on notice mechanics than clauses that reproduce the template’s delivery/deeming framework']"
Axion,8,"['Only partially overlaps: references notices per addresses exchanged and includes prompt notice of actions plus SEC 8-K filing for MNPI', 'Omits template’s detailed delivery methods and deemed-given timing; omits the record-date notice regime and adjustment-notice specifics', 'Uses ‘time of execution’ rather than ‘time of exercise’ and lacks the 15-day/record-date/public-information proviso package', 'Overall substantially shorter and missing multiple key obligations/triggers from template']"
Carbon Energy,9,"['Contains a limited subset: notice per Warrant Register; prompt notice of actions; immediate adjustment notice (including Warrant Shares) with a carve-out limiting notice to avoid disseminating MNPI', 'Omits detailed delivery/deeming mechanics and omits the 15-day record-date notices for dividends/options/fundamental transactions', 'MNPI carve-out materially changes the Company’s notice obligations compared to template’s public-known proviso', 'Overall materially less similar in both mechanics and scope of required notices']"
