Doc,Rank,Reasons
Netgear,1,"['Matches Template’s trigger: ceasing to be an Eligible Employee, for any reason', 'Deemed withdrawal from the Plan upon termination', 'Refund limited to deductions during the Offering Period not yet used to purchase shares under the Plan', 'Death payout to persons entitled under Section 15 hereof', 'Option automatically terminated']"
3 from Arlo,1,"['Substantively identical to Template (Eligible Employee cessation; deemed withdrawal)', 'Returns payroll deductions from the Offering Period not yet used to purchase shares of Common Stock', 'Death payment to persons entitled under Section 15 hereof', 'Option automatically terminated']"
Alector,2,"['Core mechanics track Template (Eligible Employee cessation; deemed withdrawal; return of unused contributions; option termination)', ""Uses 'Contributions' rather than 'payroll deductions' but same function"", 'Adds administrator carve-out for transfer/termination with immediate rehire (no break in service)', 'Adds 423/Non-423 component qualification language not in Template']"
Cytokinetics,2,"['Same core structure as Template (withdrawal deemed; refund of unused payroll deductions; option termination; Section 15 death reference)', 'Adds exception treating payment-in-lieu-of-notice period as continued employment, modifying when termination is recognized']"
Dolby,3,"['Same trigger (ceasing to be an Eligible Employee) and deemed withdrawal/return/termination framework', ""Broadens refunded amounts to 'payroll deductions or contributions' (slight expansion)"", ""Changes death payee from Section 15 beneficiaries to 'administrator of his or her estate' (material difference from Template)""]"
Ari Network,4,"['Similar deemed withdrawal, refund of unused payroll deductions, and automatic option termination', ""Trigger differs: ceasing to be an Employee of the Company (not specifically 'Eligible Employee')"", ""Adds illustrative reasons (death, disability, retirement) but generally consistent with 'for any reason'""]"
Arena,4,"['Same deemed withdrawal and refund/termination mechanics', ""Trigger differs: ceasing to be an Employee (not 'Eligible Employee')"", 'Refund tied to amounts not yet used to exercise the option (vs purchase shares)', 'Includes unrelated additional provision on no interest (not in Template)']"
Lantronix,4,"['Same deemed withdrawal and refund/termination mechanics', ""Trigger differs: ceasing to be an Employee (not 'Eligible Employee')"", 'Refund standard is amounts not yet used to exercise the option (vs purchase shares)', ""Adds timing qualifier 'promptly' returned (Template has no timing qualifier)""]"
2 from 2,5,"['Has Eligible Employee cessation and deemed withdrawal; option termination included', ""Refund language omits 'but not yet used to purchase shares' limitation (could imply broader refund)"", ""Adds timing qualifier 'as soon as reasonably practicable' not in Template""]"
Clovis Oncology,6,"['Has Eligible Employee cessation and deemed withdrawal; option termination included', 'Pays out payroll deductions plus any retained balance from a prior Offering Period (broader than Template)', ""Adds timing qualifier 'as soon as reasonably practicable'"", ""Specifies option termination 'for the Offering Period' (slightly narrower framing than Template)""]"
