Doc,Obls,Score,Rank
Neuralstem,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [['Notice required under this Warrant must be given in writing as specified, with delivery methods and addresses as set forth.', [1], [1]], ['Notice delivered by first-class registered or certified mail domestic is deemed given three (3) Business Days after mailing.', [1], [1]], ['Notice delivered by nationally recognized overnight carrier is deemed given one (1) Business Day after mailing.', [1], [1]], ['Notice delivered by International Federal Express is deemed given two (2) Business Days after mailing.', [1], [1]], ['Notice delivered by electronic mail to each of the email addresses specified in Section 8 prior to 5:00 p.m. (New York time) on a Trading Day is deemed given on the date of transmission.', [1], [1]], ['Notice delivered by electronic mail to each of the email addresses specified in Section 8 on a day that is not a Trading Day or later than 5:00 p.m. (New York time) on any Trading Day is deemed given the next Trading Day after the date of transmission.', [1], [1]], ['Notice delivered by facsimile is deemed given upon electronic confirmation of receipt.', [1], [1]], ['The Company must provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including a description and reason for such action.', [2], [2]], ['The Company must give written notice to the Holder immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment.', [3], [3]], ['The Company must give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock.', [3], [3]], ['The Company must give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock.', [3], [3]], ['The Company must give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation.', [3], [3]], ['In each case, information required to be provided to the Holder must be made known to the public prior to or in conjunction with such notice being provided to the Holder.', [3], [3]], ['The time of exercise specified by the Holder in each Exercise Notice is definitive and may not be disputed or challenged by the Company.', [4], [4]], ['The provisions of this Warrant may be amended or waived and the Company may take any action herein prohibited, or omit to perform any act herein required to be performed by it, only if the Company has obtained the written consent of the Holder.', [5], [5]]], 'opposite': []}",1.0
Delcath,"{'unmatchedList1': [['Except as otherwise provided herein, the provisions of this Warrant may be amended or waived and the Company may take any action herein prohibited, or omit to perform any act herein required to be performed by it, only if the Company has obtained the written consent of the Holder.', [5]]], 'unmatchedList2': [], 'identical': [['Whenever notice is required under this Warrant, notice must be given in writing and delivered as specified (by mail, courier, email, or facsimile, with methods depending on location).', [1], [1]], ['Notice will be deemed given at the specified times depending on delivery method (mail, courier, email, facsimile).', [1], [1]], ['Notice must be delivered and addressed as specified for the Company and the Holder.', [1], [1]], ['The Company must provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including a description and reason for such action.', [2], [2]], ['The Company must give written notice to the Holder immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment.', [3], [3]], ['The Company must give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock, any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock, or for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation, provided in each case that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder.', [3], [3]], ['The time of exercise specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.', [4], [4]]], 'opposite': []}",0.875,1
Dicerna,"{'unmatchedList1': [['The time of exercise specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.', [4]], ['Except as otherwise provided herein, the provisions of this Warrant may be amended or waived and the Company may take any action herein prohibited, or omit to perform any act herein required to be performed by it, only if the Company has obtained the written consent of the Holder.', [5]]], 'unmatchedList2': [], 'identical': [['Whenever notice is required under this Warrant, notice must be given in writing, using specified delivery methods depending on origin (domestic US or outside US) and addressed as specified.', [1], [1]], ['Notice will be deemed given at the specified times depending on delivery method (mail, courier, International Federal Express, email, facsimile).', [1], [1]], ['The Company must provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including a description and reason for such action.', [2], [2]], ['The Company must give written notice to the Holder immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment.', [3], [3]], ['The Company must give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to (A) any dividend or distribution upon the shares of Common Stock, (B) any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock, or (C) for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation, provided that such information is made known to the public prior to or in conjunction with such notice.', [3], [3]]], 'opposite': []}",0.7142857142857143,2
Tandem Diabetes,"{'unmatchedList1': [['The Company must give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record (A) with respect to any dividend or distribution upon the shares of Common Stock, (B) with respect to any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock or (C) for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation; provided in each case that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder', [3]], ['It is expressly understood and agreed that the time of exercise specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company', [4]], ['Except as otherwise provided herein, the provisions of this Warrant may be amended or waived and the Company may take any action herein prohibited, or omit to perform any act herein required to be performed by it, only if the Company has obtained the written consent of the Holder', [5]]], 'unmatchedList2': [['The Company must give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock; provided that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder', [3]]], 'identical': [['Whenever notice is required under this Warrant, notice must be given in writing by specified delivery methods depending on origin (domestic US: first-class registered/certified airmail, overnight courier, postage prepaid, electronic mail; outside US: International Federal Express, electronic mail)', [1], [1]], ['Notice will be deemed given based on delivery method and timing (domestic mail: 3 Business Days after mailing; overnight carrier: 1 Business Day after mailing; International Federal Express: 2 Business Days after mailing; electronic mail: on date of transmission if before 5:00 p.m. NY time on Trading Day, or next Trading Day if after 5:00 p.m. or not a Trading Day)', [1], [1]], ['Notice must be delivered and addressed as specified: if to the Company, to the address provided; if to the Holder, to the address or contact information delivered by the Holder to the Company or as on the books and records of the Company', [1], [1]], ['The Company must provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including a description and reason for such action in reasonable detail', [2], [2]], ['The Company must give written notice to the Holder immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail and certifying the calculation of such adjustment', [3], [3]]], 'opposite': []}",0.5555555555555556,3
Plug Power,"{'unmatchedList1': [['The Company must give written notice to the Holder immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment.', [3]]], 'unmatchedList2': [['The Company must give written notice to the Holder promptly upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment.', [3]], ['The Company is not required to provide prompt written notice to the Holder of the issuance of shares of Common Stock upon exercise in accordance with the terms hereof.', [2]], ['The Company must only provide the public notice described if the information in such notice constitutes material non-public information regarding the Company or any of its subsidiaries.', [4]]], 'identical': [['Whenever notice is required under this Warrant, notice must be given in writing and delivered as specified (by mail, courier, email, or facsimile, with delivery methods and addresses as stated).', [1], [1]], ['Notice will be deemed given at the times specified for each delivery method (mail, courier, email, facsimile) as set forth in the clause.', [1], [1]], ['The Company must provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including a description and reason for such action.', [2], [2]], ['The Company must give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock, grants, issuances or sales of Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock, or for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation, provided such information is made known to the public prior to or in conjunction with such notice.', [4], [4]], ['The time of exercise specified by the Holder in each Exercise Notice is definitive and may not be disputed or challenged by the Company.', [5], [6]]], 'opposite': []}",0.5555555555555556,3
EnerCore,"{'unmatchedList1': [['Whenever notice is required to be given under this Warrant, unless otherwise provided herein, such notice must be given in writing, (i) if delivered (a) from within the domestic United States, by first-class registered or certified airmail, or nationally recognized overnight express courier, postage prepaid, electronic mail or by facsimile or (b) from outside the United States, by International Federal Express, electronic mail or facsimile.', [1]], ['Notice will be deemed given (A) if delivered by first-class registered or certified mail domestic, three (3) Business Days after so mailed, (B) if delivered by nationally recognized overnight carrier, one (1) Business Day after so mailed, (C) if delivered by International Federal Express, two (2) Business Days after so mailed, (D) on the date of transmission, if delivered by electronic mail to each of the email addresses specified in this Section 8 prior to 5:00 p.m. (New York time) on a Trading Day, (E) the next Trading Day after the date of transmission, if delivered by electronic mail to each of the email addresses specified in this Section 8 on a day that is not a Trading Day or later than 5:00 p.m. (New York time) on any Trading Day and (F) if delivered by facsimile, upon electronic confirmation of receipt of such facsimile.', [1]], ['Notice will be delivered and addressed as follows: (i) if to the Company, to: Neuralstem, Inc. 20271 Goldenroad Lane Germantown, MD 20876 Attention: Rich Daly Facsimile: 301.560.6634 Email: rdaly@neuralstem.com (ii) if to the Holder, at such address or other contact information delivered by the Holder to Company or as is on the books and records of the Company.', [1]]], 'unmatchedList2': [['Whenever notice is required to be given under this Warrant, unless otherwise provided herein, such notice must be given in accordance with Section 9(f) of the Securities Purchase Agreement.', [1]]], 'identical': [['The Company must provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including a description and the reason for such action.', [2], [2]], ['The Company must give written notice to the Holder immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment.', [3], [3]], ['The Company must give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock, any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock, or for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation, provided in each case that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder.', [3], [3]], ['The time of exercise specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.', [4], [4]]], 'opposite': []}",0.5,4
FuelCell,"{'unmatchedList1': [['If notice is delivered by electronic mail to each of the email addresses specified in this Section 8 prior to 5:00 p.m. (New York time) on a Trading Day, it is deemed given on the date of transmission.', [1]], ['If notice is delivered by electronic mail to each of the email addresses specified in this Section 8 on a day that is not a Trading Day or later than 5:00 p.m. (New York time) on any Trading Day, it is deemed given the next Trading Day after the date of transmission.', [1]], ['If notice is delivered to the Company, it must be sent to: Neuralstem, Inc. 20271 Goldenroad Lane Germantown, MD 20876 Attention: Rich Daly Facsimile: 301.560.6634 Email: rdaly@neuralstem.com', [1]], ['The Company must give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock, grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock, or for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation, provided in each case that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder.', [3]], ['It is expressly understood and agreed that the time of exercise specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.', [4]], ['The provisions of this Warrant may be amended or waived and the Company may take any action herein prohibited, or omit to perform any act herein required to be performed by it, only if the Company has obtained the written consent of the Holder.', [5]]], 'unmatchedList2': [['If notice is delivered by electronic mail, it is deemed given when sent as long as the sender has not received an automated notice that the electronic mail has been rejected.', [1]], ['If notice is delivered to the Company, it must be sent to: FuelCell Energy 3 Great Pasture Road Danbury, CT 06810 Attention: Corporate Counsel Facsimile: (203) 825-6069 Email: jarasimowicz@fce.com', [1]], ['The Company must provide the Holder with prompt written notice of all actions taken pursuant to this Warrant (other than the issuance of shares of Common Stock upon exercise in accordance with the terms hereof), including in reasonable detail a description of such action and the reason therefor.', [2]], ['The Company must give written notice to the Holder immediately upon each adjustment of the Exercise Price and the number of Warrant Shares, setting forth in reasonable detail, and certifying, the calculation of such adjustment(s).', [3]], ['The Company must give written notice to the Holder at least ten Trading Days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock, grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property made to all, or substantially all, holders of shares of Common Stock, or for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation, provided in each case that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder.', [3]], ['The Company must give written notice to the Holder at least ten (10) Trading Days prior to the consummation of any Fundamental Transaction.', [3]], ['To the extent that any notice provided hereunder constitutes, or contains, material, non-public information regarding the Company or any of its subsidiaries, the Company shall simultaneously file such notice with the SEC pursuant to a Current Report on Form 8-K.', [4]], ['If the Company or any of its subsidiaries provides material non-public information to the Holder that is not simultaneously filed in a Current Report on Form 8-K and the Holder has not agreed to receive such material non-public information, the Holder shall not have any duty of confidentiality to the Company, its subsidiaries, or their respective officers, directors, employees, affiliates or agents with respect to, or a duty not to trade on the basis of, such material non-public information.', [5]], ['It is expressly understood and agreed that the time of execution specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.', [6]]], 'identical': [['Each party must give notice in writing as required under the Warrant, unless otherwise provided herein.', [1], [1]], ['If notice is delivered from within the domestic United States, it must be sent by first-class registered or certified airmail, or nationally recognized overnight express courier, postage prepaid, electronic mail, or by facsimile.', [1], [1]], ['If notice is delivered from outside the United States, it must be sent by International Federal Express, electronic mail, or facsimile.', [1], [1]], ['If notice is delivered by first-class registered or certified mail domestic, it is deemed given three (3) Business Days after mailing.', [1], [1]], ['If notice is delivered by nationally recognized overnight carrier, it is deemed given one (1) Business Day after mailing.', [1], [1]], ['If notice is delivered by International Federal Express, it is deemed given two (2) Business Days after mailing.', [1], [1]], ['If notice is delivered by facsimile, it is deemed given upon electronic confirmation of receipt of such facsimile.', [1], [1]], ['If notice is delivered to the Holder, it must be sent to the address or contact information delivered by the Holder to the Company or as is on the books and records of the Company.', [1], [1]], ['The Company must provide the Holder with prompt written notice of all actions taken pursuant to the Warrant, including in reasonable detail a description of such action and the reason therefor.', [2], [2]], ['The Company must give written notice to the Holder immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment.', [3], [3]]], 'opposite': []}",0.4,5
Helios and Matheson,"{'unmatchedList1': [['If notice is delivered by electronic mail to each of the email addresses specified in this Section 8 prior to 5:00 p.m. (New York time) on a Trading Day, it is deemed given on the date of transmission.', [1]], ['If notice is delivered by electronic mail to each of the email addresses specified in this Section 8 on a day that is not a Trading Day or later than 5:00 p.m. (New York time) on any Trading Day, it is deemed given the next Trading Day after the date of transmission.', [1]], ['If notice is delivered to the Company, it must be sent to: Neuralstem, Inc. 20271 Goldenroad Lane Germantown, MD 20876 Attention: Rich Daly Facsimile: 301.560.6634 Email: rdaly@neuralstem.com.', [1]], ['The Company will give written notice to the Holder immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment.', [3]], ['The Company will give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock, with respect to any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock, or for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation; provided in each case that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder.', [3]], ['Except as otherwise provided herein, the provisions of this Warrant may be amended or waived and the Company may take any action herein prohibited, or omit to perform any act herein required to be performed by it, only if the Company has obtained the written consent of the Holder.', [5]]], 'unmatchedList2': [[""If notice is delivered by electronic mail, it is deemed given when sent, provided that such sent email is kept on file by the sending party and the sending party does not receive an automatically generated message from the recipient's email server that such e-mail could not be delivered to such recipient."", [1]], ['If notice is delivered to the Company, it must be sent to: Helios and Matheson Analytics Inc. Empire State Building 350 5th Avenue New York, New York 10118 Telephone: (212) 979-8228 Facsimile: (212) 979-2517 Attention: Chief Executive Officer E-Mail: pat.k@hmny.com, with a copy (for informational purposes only) to: Mitchell Silberberg & Knupp LLP 11377 W. Olympic Blvd. Los Angeles, CA 90065 Telephone: (310) 312-3106 Facsimile: (310) 312-3100 Attention: Kevin Friedmann, Esq. E-Mail: kxf@msk.com.', [1]], ['The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant (other than the issuance of shares of Common Stock upon exercise in accordance with the terms hereof), including in reasonable detail a description of such action and the reason therefor.', [2]], ['The Company will give written notice to the Holder immediately upon each adjustment of the Exercise Price and the number of Warrant Shares, setting forth in reasonable detail, and certifying, the calculation of such adjustment(s).', [3]], ['The Company will give written notice to the Holder at least ten Trading Days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock, or for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation, provided in each case that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder.', [3]], ['The Company will give written notice to the Holder at least ten (10) Trading Days prior to the consummation of any Fundamental Transaction.', [3]], ['To the extent that any notice provided hereunder constitutes, or contains, material, non-public information regarding the Company or any of its subsidiaries, the Company shall simultaneously file such notice with the SEC pursuant to a Current Report on Form 8-K.', [4]]], 'identical': [['Whenever notice is required under this Warrant, notice must be given in writing, using specified delivery methods depending on location (domestic: first-class registered/certified mail, overnight courier, electronic mail, facsimile; international: International Federal Express, electronic mail, facsimile).', [1], [1]], ['If notice is delivered by first-class registered or certified mail (domestic), it is deemed given three Business Days after mailing.', [1], [1]], ['If notice is delivered by nationally recognized overnight carrier, it is deemed given one Business Day after mailing.', [1], [1]], ['If notice is delivered by International Federal Express, it is deemed given two Business Days after mailing.', [1], [1]], ['If notice is delivered by facsimile, it is deemed given upon electronic confirmation of receipt.', [1], [1]], ['If notice is delivered to the Holder, it must be sent to the address or contact information delivered by the Holder to the Company or as is on the books and records of the Company.', [1], [1]], ['The Company must provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including in reasonable detail a description of such action and the reason therefor.', [2], [2]], ['It is expressly understood and agreed that the time of exercise specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.', [4], [5]]], 'opposite': []}",0.38095238095238093,6
Leap,"{'unmatchedList1': [['The Company must provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including in reasonable detail a description of such action and the reason therefor.', [1]], ['The Company must give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record for the specified events.', [1]], ['Such information must be made known to the public prior to or in conjunction with such notice being provided to the Holder.', [1]], ['The time of exercise specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.', [1]], ['The provisions of this Warrant may be amended or waived, and the Company may take any action herein prohibited, or omit to perform any act herein required to be performed by it, only if the Company has obtained the written consent of the Holder.', [2]]], 'unmatchedList2': [['The Company must give written notice to the Holder reasonably promptly following any adjustment of the Exercise Price.', [2]], ['The Company must give written notice to the Holder at least ten (10) days prior to the date on which the Company closes its books or takes a record for the specified events.', [2]], ['The Company must give written notice to the Holder with respect to grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property pro rata to the record holders of any class of shares of Common Stock.', [2]], ['The failure to deliver such notice or any defect therein or in the delivery thereof shall not affect the validity of the corporate action required to be specified in such notice.', [2]], ['Upon receipt or delivery by the Company of any notice in accordance with the terms of this Warrant, unless the Company has in good faith determined that the matters relating to such notice do not constitute material, nonpublic information relating to the Company or its subsidiaries, the Company shall contemporaneously with any such receipt or delivery publicly disclose such material, nonpublic information on a Current Report on Form 8-K or otherwise in accordance with applicable laws.', [3]], ['If the Company believes that a notice contains material, nonpublic information relating to the Company or its subsidiaries, the Company shall indicate so to the Holder contemporaneously with delivery of such notice.', [3]], ['In the absence of any such indication, the Holder shall be allowed to presume that all matters relating to such notice do not constitute material, nonpublic information relating to the Company or its subsidiaries.', [3]]], 'identical': [['Whenever notice is required under this Warrant, notice must be given in writing by specified delivery methods depending on whether delivery is from within or outside the United States.', [1], [1]], ['Notice will be deemed given at the specified times depending on the delivery method used.', [1], [1]], ['The Company must give written notice to the Holder upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment.', [1], [2]], ['The Company must give written notice to the Holder prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock, grants, issuances or sales of Options, Convertible Securities or rights to purchase stock, warrants, securities or other property, or for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation.', [1], [2]]], 'opposite': []}",0.25,7
BioPharmX,"{'unmatchedList1': [['Notice delivered by first-class registered or certified mail domestic is deemed given three (3) Business Days after mailing.', [1]], ['Notice delivered by nationally recognized overnight carrier is deemed given one (1) Business Day after mailing.', [1]], ['Notice delivered by International Federal Express is deemed given two (2) Business Days after mailing.', [1]], ['Notice delivered by electronic mail to specified addresses prior to 5:00 p.m. (New York time) on a Trading Day is deemed given on the date of transmission.', [1]], ['Notice delivered by electronic mail to specified addresses on a non-Trading Day or after 5:00 p.m. (New York time) on a Trading Day is deemed given the next Trading Day after transmission.', [1]], ['Notice delivered by facsimile is deemed given upon electronic confirmation of receipt.', [1]], ['The Company must give written notice to the Holder immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment.', [3]], ['The Company must give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record for specified corporate actions.', [3]]], 'unmatchedList2': [['Notice delivered by first-class registered or certified mail domestic is deemed given three (3) Trading Days after mailing.', [1]], ['Notice delivered by nationally recognized overnight carrier is deemed given one (1) Trading Day after mailing.', [1]], ['Notice delivered by International Federal Express is deemed given two (2) Trading Days after mailing.', [1]], ['Notice delivered by electronic mail to specified addresses prior to 5:00 p.m. (New York time) on a Trading Day is deemed given on the date of transmission.', [1]], ['Notice delivered by electronic mail to specified addresses on a non-Trading Day or after 5:00 p.m. (New York time) on a Trading Day is deemed given the next Trading Day after transmission.', [1]], ['Notice delivered by facsimile is deemed given upon electronic confirmation of receipt.', [1]], ['The Company must give written notice to the Holder reasonably promptly upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment.', [3]], ['The Company must give written notice to the Holder at least ten (10) days prior to the date on which the Company closes its books or takes a record for specified corporate actions.', [3]], ['The Company must give written notice to the Holder with respect to grants, issuances or sales of rights to purchase stock, warrants, securities or other property pro rata to holders of any class of shares of Common Stock.', [3]]], 'identical': [['Whenever notice is required under this Warrant, such notice must be given in writing, using specified delivery methods depending on origin (domestic US or outside US), and addressed as specified.', [1], [1]], ['The Company must provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including a description and reason for such action.', [2], [2]], ['The Company must give written notice to the Holder at least prior to closing its books or taking a record with respect to any dividend or distribution upon the shares of Common Stock, any grants, issuances or sales of Options, Convertible Securities or rights to purchase stock, warrants, securities or other property, or for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation, provided such information is made public prior to or with such notice.', [3], [3]], ['The time of exercise specified by the Holder in each Exercise Notice is definitive and may not be disputed or challenged by the Company.', [4], [4]], ['Except as otherwise provided, the provisions of this Warrant may be amended or waived, and the Company may take prohibited actions or omit required actions, only with the written consent of the Holder.', [5], []]], 'opposite': []}",0.22727272727272727,8
