Doc,Obls,Score,Rank
The RealReal,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[""The Employee consents to any and all uses and displays by the Company and its affiliates and agents of the Employee's name, voice, likeness, image, appearance and biographical information in all forms and media throughout the world at any time during and after employment for all legitimate business purposes of the Company."", [1], [1]], [""The Employee releases and discharges the Company and its directors, officers, employees, agents, assigns and designees from any and all claims, actions, damages, losses, costs, expenses, demands and liability of any kind arising under any legal or equitable theory whatsoever at any time during and after the Employee's employment with the Company in connection with any Permitted Use."", [2], [2]]], 'opposite': []}",1.0
Seventy Seven Energy,"{'unmatchedList1': [], 'unmatchedList2': [['Executive consents to Permitted Uses without further consent from or royalty, payment or other compensation to the Executive', [1]]], 'identical': [[""Employee/Executive irrevocably consents to all uses and displays by Company (and affiliates/agents/representatives/licensees) of Employee's/Executive's name, voice, likeness, image, appearance, and biographical information in all forms of media throughout the world at any time during and after employment for all legitimate business purposes of the Company/Company Group (Permitted Uses)"", [1], [1]], ['Employee/Executive forever releases and discharges Company (and directors, officers, employees, agents, assigns/designees) from all claims, actions, damages, losses, costs, expenses, demands and liability of any kind arising under any legal or equitable theory at any time during and after employment in connection with any Permitted Use', [2], [2]]], 'opposite': []}",0.6666666666666666,1
Dynatronics,"{'unmatchedList1': [[""Employee consents to all uses and displays by the Company's affiliates and assigns and designees of Employee's name, voice, likeness, image, appearance, and biographical information in any media worldwide at any time during or after employment for all legitimate business purposes of the Company"", [1]], [""Employee releases the Company's assigns and designees from all claims, actions, damages, losses, costs, expenses, demands, and liability of any kind arising at any time during or after employment in connection with any Permitted Use"", [2]]], 'unmatchedList2': [], 'identical': [[""Employee consents to all uses and displays by the Company and its agents of Employee's name, voice, likeness, image, appearance, and biographical information in any media worldwide at any time during or after employment for all legitimate business purposes of the Company"", [1], [1]], ['Employee releases the Company and its directors, officers, employees, and agents from all claims, actions, damages, losses, costs, expenses, and liability of any kind arising at any time during or after employment in connection with any Permitted Use', [2], [2]]], 'opposite': []}",0.5,2
Osiris,"{'unmatchedList1': [[""Employee must release and discharge the Company's assigns and designees from all claims, actions, damages, losses, costs, expenses, demands and liability arising at any time during and after employment in connection with any Permitted Use"", [2]]], 'unmatchedList2': [[""Executive must consent to all uses and displays by the Company's representatives and licensees of their name, voice, likeness, image, appearance, and biographical information in connection with various media for all legitimate business purposes of the Company during and after employment without further consent or royalty, payment, or other compensation to the Executive"", [1]], ['Executive must waive and release the Company and its agents, representatives, and licensees from all claims, actions, damages, losses, costs, expenses, and liability arising at any time during and after employment arising directly or indirectly from the exercise of rights in connection with any Permitted Uses', [2]]], 'identical': [['Employee/Executive must consent to all uses and displays by the Company and its affiliates/agents/representatives/licensees of their name, voice, likeness, image, appearance, and biographical information in connection with various media for all legitimate business purposes of the Company during and after employment', [1], [1]], ['Employee/Executive must release and discharge/waive and release the Company and its directors, officers, employees, and agents from all claims, actions, damages, losses, costs, expenses, and liability arising at any time during and after employment in connection with any Permitted Use', [2], [2]]], 'opposite': []}",0.4,3
IQVIA,"{'unmatchedList1': [['Employee forever releases and discharges the Company and its directors, officers, employees, agents, assigns and designees from all claims and liability arising at any time during and after employment in connection with any Permitted Use.', [2]]], 'unmatchedList2': [['Executive consents to use and display for all legitimate commercial and business purposes of the Company without further consent from or royalty, payment or other compensation to Executive.', [1]]], 'identical': [['Employee/Executive irrevocably consents to all uses and displays by the Company and its agents of their name, voice, likeness, image, appearance, and biographical information in all forms of media worldwide at any time during and after employment for all legitimate business purposes of the Company.', [1], [1]]], 'opposite': []}",0.3333333333333333,4
Hoth Therapeautics,"{'unmatchedList1': [[""The Employee consents to use and display by the Company's affiliates and assigns and designees."", [1, 2]]], 'unmatchedList2': [[""The Employee consents to use and display by the Company's representatives and licensees."", [1, 2]], [""The Employee's consent is without further consent from or royalty, payment or other compensation to the Employee."", [1]], ['The Employee waives and releases claims arising directly or indirectly from the exercise of rights by the Company and its agents, representatives and licensees in connection with any Permitted Uses.', [2]]], 'identical': [[""The Employee irrevocably consents to any and all uses and displays, by the Company and its designated parties, of the Employee's name, voice, likeness, image, appearance and biographical information in connection with all forms of media throughout the world at any time during and after the Employee's employment for all legitimate business purposes of the Company."", [1], [1]], [""The Employee forever releases and discharges the Company and its directors, officers, employees and agents from any and all claims, actions, damages, losses, costs, expenses and liability of any kind arising under any legal or equitable theory at any time during and after the Employee's employment in connection with any Permitted Use."", [2], [2]]], 'opposite': []}",0.3333333333333333,4
iGambit,"{'unmatchedList1': [], 'unmatchedList2': [['Executive consents to Permitted Uses by Company and its affiliates, agents, representatives, and licensees', [1]], ['Permitted Uses may be for all legitimate commercial and business purposes of the Company and its affiliates', [1]], ['Permitted Uses may occur at any time during or after the Employment Term', [1, 2]], ['Permitted Uses may occur without further consent from or royalty, payment, or other compensation to the Executive', [1]], [""Executive waives and releases Company and its affiliates and its directors, officers, employees, and agents from all claims, actions, damages, losses, costs, expenses, and liability of any kind arising directly or indirectly from Company and its affiliates' and its agents', representatives', and licensees' exercise of their rights in connection with any Permitted Uses"", [2]]], 'identical': [[""Employee/Executive irrevocably consents to all uses and displays by Company and its affiliates and agents of Employee/Executive's name, voice, likeness, image, appearance, and biographical information in any media throughout the world at any time during and after employment for all legitimate business purposes of the Company (Permitted Uses)"", [1], [1]], ['Employee/Executive forever releases and discharges/waives and releases Company and its directors, officers, employees, agents (and assigns/designees/affiliates) from all claims, actions, damages, losses, costs, expenses, demands, and liability of any kind arising under any legal or equitable theory at any time during and after employment in connection with any Permitted Use', [2], [2]]], 'opposite': []}",0.2857142857142857,5
OncBioMune,"{'unmatchedList1': [[""Employee consents to all uses and displays by Company and its affiliates and agents of Employee's name, voice, likeness, image, appearance and biographical information in all media throughout the world at any time during and after employment for all legitimate business purposes of the Company"", [1]]], 'unmatchedList2': [[""Employer must use commercially reasonable efforts to obtain Employee's consent (which will not be unreasonably withheld) prior to any use and display by Employer and its agents of Employee's name, voice, likeness, image, appearance and biographical information in all media throughout the world at any time during or after employment for all legitimate business purposes of the Employer"", [1]], [""Employee releases Employer and its directors, officers, employees and agents from all claims and liability in connection with any Permitted Use only upon receipt of Employee's consent to such Permitted Use"", [2]]], 'identical': [['Employee releases Company and its directors, officers, employees, agents, assigns and designees from all claims and liability in connection with any Permitted Use during and after employment', [2], [2]]], 'opposite': []}",0.25,6
Singing Machine,"{'unmatchedList1': [['Employee consents to use and display by Company affiliates and assigns and designees', [1]], ['Employee releases and discharges Company assigns and designees from all claims in connection with Permitted Use', [2]]], 'unmatchedList2': [['Executive consents to use and display by Company representatives and licensees', [1]], ['Executive consents to use and display for all legitimate commercial and business purposes of the Company', [1]], ['Executive consents to use and display without further consent or royalty, payment, or other compensation', [1]], ['Executive waives and releases Company representatives and licensees from all claims in connection with Permitted Use', [2]]], 'identical': [['Employee/Executive irrevocably consents to all uses and displays by the Company and its agents of their name, voice, likeness, image, appearance, and biographical information in all forms of media worldwide at any time during and after employment for all legitimate business purposes of the Company (Permitted Uses)', [1], [1]], ['Employee/Executive forever releases and discharges/waives and releases the Company and its directors, officers, employees, and agents from all claims, actions, damages, losses, costs, expenses, and liability of any kind arising under any legal or equitable theory at any time during and after employment in connection with any Permitted Use', [2], [2]]], 'opposite': []}",0.25,6
Bakhu Holdings,"{'unmatchedList1': [[""The Employee irrevocably and absolutely consents to any and all uses and displays by the Company and its affiliates and agents of the Employee's name, voice, likeness, image, appearance and biographical information in any media throughout the world at any time during and after employment for all legitimate business purposes."", [1]], ['The Employee forever releases and discharges the Company and its directors, officers, employees, agents, assigns and designees from any and all claims, actions, damages, losses, costs, expenses, demands and liability of any kind arising in connection with any Permitted Use during and after employment.', [2]]], 'unmatchedList2': [[""The Company's use of the Employee's name, voice, likeness, image, appearance, and biographical information in any media for all legitimate business purposes during employment is subject to the Employee's advance approval, which shall not be unreasonably withheld."", [1]], [""The Company and its agents may use the Employee's name, voice, likeness, image, appearance, and biographical information in any media for all legitimate business purposes during employment without further consent from or royalty, payment, or other compensation to the Employee."", [1]]], 'identical': [[""The Company and its agents may use the Employee's name, voice, likeness, image, appearance, and biographical information in any media for all legitimate business purposes during employment."", [1], [1]]], 'opposite': []}",0.2,7
5 from C,"{'unmatchedList1': [['Employee consents to use and display of their name, voice, likeness, image, appearance, and biographical information by Company and its affiliates and agents in all forms of media for all legitimate business purposes after employment.', [1]], ['Employee releases and discharges Company and its directors, officers, employees, agents, assigns and designees from all claims and liability in connection with any permitted use during and after employment.', [2]]], 'unmatchedList2': [['Executive consents to any and all reasonable and customary uses and displays by Company, Bank, and their agents, representatives and licensees.', [1]], ['Executive consents to use and display for all legitimate commercial and business purposes of the Company and the Bank.', [1]], ['Executive consents to use and display without royalty, payment or other compensation.', [1]]], 'identical': [['Employee/Executive consents to use and display of their name, voice, likeness, image, appearance, and biographical information by Company (and affiliates/agents/representatives/licensees) in all forms of media for all legitimate business purposes during employment.', [1], [1]]], 'opposite': []}",0.16666666666666666,8
Medizone,"{'unmatchedList1': [[""Employee consents to all uses and displays by Company and its agents of Employee's name, voice, likeness, image, appearance, and biographical information in connection with various media for all legitimate business purposes of Company after employment"", [1]], ['Employee releases and discharges Company and its directors, officers, employees, agents, assigns and designees from all claims and liability arising in connection with any Permitted Use during and after employment', [2]]], 'unmatchedList2': [['Employee consents only to reasonable and customary uses and displays by Company and its agents, representatives and licensees', [1]], ['Employee consents to all uses and displays by Company and its agents, representatives and licensees for all legitimate commercial and business purposes of Company (not just business purposes)', [1]], ['Employee consents to all uses and displays by Company and its agents, representatives and licensees without royalty, payment or other compensation to Employee', [1]]], 'identical': [[""Employee/Executive consents to all uses and displays by Company and its agents of Employee/Executive's name, voice, likeness, image, appearance, and biographical information in connection with various media for all legitimate business purposes of Company during employment"", [1], [1]]], 'opposite': []}",0.16666666666666666,8
