Doc,Obls,Score,Rank
Esports Management,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [['The Executive must not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company or its businesses, or any of its employees, officers, and existing and prospective customers, suppliers, investors and other associated third parties.', [1], [1]], ['This Section does not restrict or impede the Executive from exercising protected rights to the extent such rights cannot be waived by agreement or from complying with any applicable law or regulation or a valid order of a court or authorized government agency, provided that such compliance does not exceed that required by the law, regulation, or order.', [2], [2]], ['The Executive must promptly provide written notice of any such order to the Compliance Officer.', [3], [3]]], 'opposite': []}",1.0
Blue Ridge,"{'unmatchedList1': [['The Executive must promptly provide written notice of any such order to the Compliance Officer.', [3]]], 'unmatchedList2': [['You must promptly provide written notice of any such order to the Bank.', [3]]], 'identical': [['The Executive/You must not at any time make, publish, or communicate to any person/entity/public forum any defamatory or disparaging remarks, comments, or statements concerning the Company/Bank, its businesses/Affiliates, or any of its/their employees, officers/directors, customers (existing and prospective), suppliers, investors, and other associated third parties.', [1], [1]], ['The Executive/You is not restricted or impeded from exercising protected rights to the extent such rights cannot be waived by agreement.', [2], [2]], ['The Executive/You is not restricted or impeded from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by law, regulation, or order.', [2], [2]]], 'opposite': []}",0.6,1
Total System Services,"{'unmatchedList1': [['Executive must provide written notice of any such order to the Compliance Officer.', [3]]], 'unmatchedList2': [['Non-disparagement obligation is subject to exceptions as otherwise provided in Section 10.', [1]]], 'identical': [['Executive/Team Member must not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company/Company Group or its/their employees, officers, and existing and prospective customers, suppliers, investors, and other associated third parties/directors, officers and employees.', [1], [1]], ['Executive/Team Member is not restricted or impeded from exercising protected rights to the extent such rights cannot be waived by agreement or from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency.', [2], [2]]], 'opposite': []}",0.5,2
3 from Total,"{'unmatchedList1': [['Executive MUST promptly provide written notice of any such order to the Compliance Officer.', [3]]], 'unmatchedList2': [['Non-disparagement obligation is subject to exceptions as otherwise provided in Section 11.', [1]]], 'identical': [['Executive/Team Member MUST NOT make, publish, or communicate any defamatory or disparaging remarks, comments, or statements concerning the Company/Company Group or its employees, officers, and directors to any person or entity or in any public forum at any time.', [1], [1]], ['Executive/Team Member is NOT restricted from exercising protected rights to the extent such rights cannot be waived by agreement or from complying with any applicable law, regulation, or valid order of a court of competent jurisdiction or authorized government agency.', [2], [2]]], 'opposite': []}",0.5,2
Veru,"{'unmatchedList1': [['The Executive must promptly provide written notice of any such order to the Compliance Officer.', [3]]], 'unmatchedList2': [[""The Executive must promptly provide written notice of any such order to Company's EVP Legal."", [3]]], 'identical': [['The Executive must not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company or its businesses, or any of its employees, officers, and existing and prospective customers, suppliers, investors and other associated third parties.', [1], [1]], ['This Section does not restrict or impede the Executive from exercising protected rights to the extent that such rights cannot be waived by agreement or from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation, or order.', [2], [2]]], 'opposite': []}",0.5,2
CTI Industries,"{'unmatchedList1': [[""The Executive must not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning any of the Company's employees, officers, and existing and prospective customers, suppliers, investors and other associated third parties."", [1]]], 'unmatchedList2': [[""The Executive must not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company's products, services, directors, investors, or affiliate companies."", [1]], ['This Section 9 does not restrict or impede the Executive from giving truthful testimony in court or administrative proceedings.', [2]]], 'identical': [['The Executive must not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company or its businesses.', [1], [1]], ['The Executive must promptly provide written notice of any such order to the designated compliance authority.', [3], [3]]], 'opposite': []}",0.4,3
Organicell,"{'unmatchedList1': [['The Executive must promptly provide written notice of any such order to the Compliance Officer.', [3]]], 'unmatchedList2': [['The Executive must promptly provide written notice of any such order to Chief Executive Officer of the Company.', [3]], ['The Company must cause its officers and directors to refrain from making any defamatory or disparaging remarks, comments or statements concerning the Executive to any third parties.', [4]]], 'identical': [['The Executive must not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company or its businesses, or any of its employees, officers, and existing and prospective customers, suppliers, investors and other associated third parties.', [1], [1]], ['This Section does not restrict or impede the Executive from exercising protected rights to the extent such rights cannot be waived by agreement or from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation, or order.', [2], [2]]], 'opposite': []}",0.4,3
5E Advanced,"{'unmatchedList1': [['The Executive must promptly provide written notice of any such order to the Compliance Officer.', [3]]], 'unmatchedList2': [[""The Executive must promptly provide written notice of any such order to the Company's SVP, General Counsel and Corporate Secretary."", [3]], ['The Company must direct its officers and directors to refrain from making any defamatory or disparaging remarks, comments, or statements concerning the Executive to any third parties.', [4]]], 'identical': [['The Executive must not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company or its businesses, or any of its employees, officers, and existing and prospective customers, suppliers, investors, and other associated third parties.', [1], [1]], ['This Section does not restrict or impede the Executive from exercising protected rights to the extent such rights cannot be waived by agreement or from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation, or order.', [2], [2]]], 'opposite': []}",0.4,3
Vapotherm,"{'unmatchedList1': [[""The Executive MUST NOT at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning any of the Company's existing and prospective customers, suppliers, investors, and other associated third parties."", [1]], ['The Executive shall promptly provide written notice of any such order to the Compliance Officer.', [3]]], 'unmatchedList2': [[""The Executive MUST NOT at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning any of the Company's directors or its or their respective affiliates."", [1]], ['The Executive shall promptly provide written notice of any such order to the Chairman of the Board.', [3]], ['Nothing in this Agreement or any other agreement containing confidentiality provisions or other restrictive covenants in favor of the Company or its affiliates shall be construed to limit, restrict, or in any other way affect the Executive communicating with any governmental agency or entity, or communicating with any official or staff person of a governmental agency or entity, concerning matters relevant to the governmental agency or entity.', [4]]], 'identical': [['The Executive MUST NOT at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company or its businesses, or any of its employees or officers.', [1], [1]], ['The Executive is NOT restricted or impeded from exercising protected rights to the extent such rights cannot be waived by agreement.', [2], [2]], ['The Executive is NOT restricted or impeded from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation, or order.', [2], [2]]], 'opposite': []}",0.375,4
Ecoark,"{'unmatchedList1': [[""Executive must not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning any of the Company's existing and prospective customers, suppliers, investors and other associated third parties."", [1]], ['Executive must ensure that compliance with any law, regulation, or order does not exceed that required by the law, regulation, or order.', [2]], ['Executive must promptly provide written notice of any such order to the Compliance Officer.', [3]]], 'unmatchedList2': [[""Executive must not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company's employees who are not officers."", [1]], [""Executive must not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company's officers who are not employees."", [1]], ['Company and the Group must not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Employee.', [2]]], 'identical': [['Executive must not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company or its businesses, or any of its employees or officers.', [1], [1]], ['Executive is not restricted or impeded from exercising protected rights to the extent such rights cannot be waived by agreement.', [2], [3]], ['Executive is not restricted or impeded from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency.', [2], [3]]], 'opposite': []}",0.3333333333333333,5
